SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
FTZN25UZH;176470,83;0,0;100,0;100,0;9996,67;14,05
FUDI74XNQ;3,79;0,0;100,0;100,0;3,21;26,5
FUFK88WUQ;86572,02;0,0;100,0;100,0;1387,95;13,58
FUQQ36LIP;23456,87;0,0;100,0;100,0;538,06;22,76
FUXY88GDB;215627,69;0,0;100,0;100,0;7298,89;7,64
FVBD37HQB;12139,15;0,0;100,0;100,0;707,5;21,3
FVCJ30RVH;83261,0;0,47;99,49;99,53;1789,77;7,85
FVUO62HTP;5258,02;0,0;100,0;100,0;774,02;57,27
FWRK19CWC;303,97;0,0;100,0;100,0;48,54;41,07
FXCI18WCK;5550,46;0,0;100,0;100,0;206,84;28,13
FXXV11MGP;12674,44;0,0;100,0;100,0;1191,23;38,84
FYBK70SNY;39046,4;0,0;100,0;100,0;4436,61;16,56
FYFO43CVN;57786,19;0,0;100,0;100,0;1141,01;8,51
FYRX53VAC;8481,32;0,0;100,0;100,0;553,64;33,93
FYYZ87QGO;4961,22;0,0;100,0;100,0;1140,02;41,84
FZFM65NZY;77298,42;0,0;100,0;100,0;941,36;5,95
FZFP28ORB;80576,63;0,0;100,0;100,0;8629,69;10,84
FZFT11JIE;70489,04;0,0;100,0;100,0;842,18;9,02
FZQA53CSD;34039,12;0,0;100,0;100,0;928,27;5,55
FZRY85XVB;15031,28;0,0;100,0;100,0;2765,27;86,58
GAYA56QOJ;498816,06;0,0;100,0;100,0;1491,22;8,07
GBUJ30ALH;790597,08;1,18;97,47;98,82;53832,41;24,32
GBZA17RMO;16939,45;0,0;100,0;100,0;668,77;10,95
GCRL34DDH;161071,89;0,0;100,0;100,0;1430,63;9,07
GDRE49GXM;199610,28;0,0;100,0;100,0;8065,07;15,86
GEIL72FVU;1965,98;0,0;100,0;100,0;153,17;50,55
GFWW34KWZ;42297,46;0,0;100,0;100,0;1195,94;140,95
GGJA06NJO;230036,27;0,0;100,0;100,0;2334,55;9,59
GGSN89NEX;41944,11;0,0;100,0;100,0;1414,39;16,78
GGTF06DQX;352826,29;0,0;100,0;100,0;29508,12;8,27
GHAD79ZCZ;8492,74;0,0;100,0;100,0;824,72;71,0
GHUL20KUB;62187,29;0,0;100,0;100,0;1000,55;9,38
GJWK81AYE;1631,4;0,0;100,0;100,0;263,31;87,62
GJXM03XNW;17589,09;0,0;100,0;100,0;657,36;17,83
GKQG13XVE;28872,34;0,0;100,0;100,0;4507,76;18,43
GLRA46ELA;27411,74;1,1;99,49;98,9;524,42;47,41
GMJG11AQC;133540,53;0,0;100,0;100,0;745,64;53,8
GNPV74IUC;15505,78;0,0;100,0;100,0;434,53;13,79
GOJD85HYI;25568,94;0,0;100,0;100,0;521,12;14,2
GPKK85RER;68,76;0,0;100,0;100,0;1629,34;87,31
GQWT95LLK;87423,23;0,0;100,0;100,0;715,07;8,38
GREQ59HTG;45436,78;0,0;100,0;100,0;3941,96;9,79
GROT79YWF;120039,82;0,0;100,0;100,0;1729,97;8,6
